질문번호,역량ID,역량명,설문문항,툴팁설명,평가척도,대상역할
Q11,3,생성형 AI 도구 활용,"ChatGPT, Gemini, ChatEXAONE 등 생성형 AI 도구의 프롬프트 작성 방법을 이해하고 활용할 수 있습니다.",프롬프트는 AI에게 원하는 결과를 얻기 위해 입력하는 지시문이나 질문입니다. 효과적인 프롬프트 작성이 중요합니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","생성형 AI 활용자, 현업 AI 관리자"
Q12,3,생성형 AI 도구 활용,"생성형 AI를 활용하여 문서 작성, 보고서 작성, 아이디어 생성 등의 업무를 수행한 경험이 있습니다.","생성형 AI는 텍스트, 이미지 등을 생성하는 AI입니다. 업무 효율을 높이기 위해 다양한 용도로 활용할 수 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","생성형 AI 활용자, 현업 AI 관리자"
Q13,3,생성형 AI 도구 활용,"다양한 프롬프트 지시문을 사용하여 VBA, 파이썬 코드를 생성하여 업무 정확도와 효율성을 높인 경험이 있다.",생성형 AI를 활용하여 프로그래밍 코드를 생성하고 이를 업무에 활용하여 생산성을 높이는 능력입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, 생성형 AI 활용자, 현업 AI 관리자"
Q14,3,생성형 AI 도구 활용,"다양한 생성형 AI 도구(이미지/음성 생성, 바이브 코딩 등)의 차이점과 활용 사례를 알고 있습니다.","생성형 AI 도구는 텍스트뿐만 아니라 이미지, 음성, 코드 등 다양한 형태의 콘텐츠를 생성할 수 있습니다. 각 도구의 특징을 이해하고 적절히 활용하는 것이 중요합니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 실무자, AI 전략 리더, 생성형 AI 활용자, 현업 AI 관리자"
Q15,3,생성형 AI 도구 활용,"생성형 AI의 할루시네이션 가능성과 한계점을 알고 있으며, 활용 시 주의사항을 인지하고 있습니다.",할루시네이션은 생성형 AI가 사실이 아닌 내용을 생성하는 현상입니다. 생성형 AI의 결과를 항상 검증하고 신뢰할 수 있는 정보인지 확인하는 것이 중요합니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","생성형 AI 활용자, 현업 AI 관리자"
Q16,4,파이썬 활용 기초,"Python의 기본 문법(변수, 함수, 반복문 등)을 이해하고 사용할 수 있습니다.","Python 문법은 프로그래밍의 기본 규칙입니다. 변수는 데이터를 저장하고, 함수는 작업을 수행하며, 반복문은 반복 작업을 합니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, 생성형 AI 활용자, 현업 AI 관리자"
Q17,4,파이썬 활용 기초,"Python의 리스트, 딕셔너리 등 자료구조를 이해하고 활용할 수 있습니다.","리스트는 순서가 있는 데이터 모음이고, 딕셔너리는 키-값 쌍으로 데이터를 저장하는 자료구조입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 실무자
Q18,4,파이썬 활용 기초,"Pandas, NumPy 등 Python 라이브러리를 사용하여 데이터를 처리한 경험이 있습니다.","Pandas는 데이터 분석을 위한 라이브러리이고, NumPy는 수치 계산을 위한 라이브러리입니다. AI 개발에 자주 사용됩니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 실무자, AI 전략 리더"
Q19,4,파이썬 활용 기초,Python으로 간단한 스크립트를 작성하여 업무를 자동화한 경험이 있습니다.,스크립트는 자동으로 실행되는 프로그램입니다. 반복적인 작업을 자동화하여 시간을 절약할 수 있습니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 전문가
Q20,4,파이썬 활용 기초,Python의 파일 입출력 기능을 사용하여 데이터를 읽고 저장할 수 있습니다.,파일 입출력은 파일에서 데이터를 읽어오거나 파일에 데이터를 저장하는 기능입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 전문가
Q21,5,AI 모델링 원리 이해,회귀(Regression)와 분류(Classification) 모델의 차이를 이해하고 있습니다.,"회귀는 연속적인 값을 예측하는 것이고(예: 집 가격), 분류는 카테고리를 예측하는 것입니다(예: 스팸/정상 메일).","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 실무자
Q22,5,AI 모델링 원리 이해,특성(Feature) 선택과 전처리(Preprocessing)의 중요성을 이해하고 있습니다.,"특성 선택은 모델에 사용할 변수를 선택하는 것이고, 전처리는 데이터를 모델이 학습하기 좋은 형태로 변환하는 것입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 실무자, AI 전략 리더"
Q23,5,AI 모델링 원리 이해,학습 데이터와 테스트 데이터를 분리하는 이유를 이해하고 있습니다.,"테스트 데이터는 모델이 한 번도 본 적 없는 데이터예요. 이를 통해 모델이 새로운 데이터에서도 잘 작동하는지 확인할 수 있습니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, AI 전략 리더"
Q24,5,AI 모델링 원리 이해,과적합(Overfitting)과 과소적합(Underfitting)의 개념을 이해하고 있습니다.,"과적합은 학습 데이터에만 너무 맞춰져서 새로운 데이터에서는 성능이 떨어지는 것이고, 과소적합은 모델이 너무 단순해서 학습이 제대로 안 되는 것입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 전략 리더"
Q25,5,AI 모델링 원리 이해,"모델의 성능을 평가하는 지표(정확도, 정밀도, 재현율 등)를 이해하고 있습니다.","정확도는 전체 중 맞춘 비율, 정밀도는 양성으로 예측한 것 중 실제 양성 비율, 재현율은 실제 양성 중 찾아낸 비율입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 실무자, AI 전략 리더"
Q26,6,알고리즘/코딩 적용 능력,문제를 해결하기 위한 알고리즘을 설계하고 구현할 수 있습니다.,알고리즘은 문제를 해결하기 위한 단계별 절차입니다. 논리적으로 생각하여 효율적인 방법을 찾는 것이 중요합니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 실무자, AI 전략 리더"
Q27,6,알고리즘/코딩 적용 능력,코드의 오류를 찾아 수정할 수 있습니다 (디버깅).,디버깅은 코드의 오류를 찾아서 수정하는 과정입니다. 오류 메시지를 분석하고 문제를 해결하는 능력입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 실무자
Q28,6,알고리즘/코딩 적용 능력,기존 코드를 읽고 이해하여 수정하거나 확장할 수 있습니다.,"다른 사람이 작성한 코드를 이해하고, 필요한 기능을 추가하거나 수정하는 능력입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 전문가
Q29,6,알고리즘/코딩 적용 능력,Git 등 버전 관리 도구를 사용하여 코드를 관리한 경험이 있습니다.,"버전 관리 도구는 코드의 변경 이력을 추적하고, 여러 사람이 협업할 때 코드를 관리하는 도구입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 전략 리더"
Q30,6,알고리즘/코딩 적용 능력,코드의 가독성을 높이기 위해 주석과 문서화를 작성한 경험이 있습니다.,"주석은 코드를 설명하는 텍스트이고, 문서화는 코드의 사용법을 설명하는 문서입니다. 다른 사람이 이해하기 쉽게 만드는 것이 중요합니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 전문가
Q31,7,AI 협업/의사소통 역량,AI 프로젝트에서 팀원들과 효과적으로 협업한 경험이 있습니다.,"협업은 여러 사람이 함께 일하여 목표를 달성하는 것입니다. 의견을 나누고 역할을 분담하여 진행합니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, 생성형 AI 활용자, 현업 AI 관리자, AI 전략 리더"
Q32,7,AI 협업/의사소통 역량,AI 기술을 비기술 직군에게 쉽게 설명하여 공감대를 형성한 경험이 있습니다.,기술적인 내용을 전문 용어 없이 쉽게 설명하여 모두가 이해할 수 있도록 하는 능력입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 전략 리더
Q33,7,AI 협업/의사소통 역량,AI 프로젝트의 진행 상황과 결과를 보고서나 발표로 전달한 경험이 있습니다.,프로젝트의 내용과 결과를 문서나 발표로 정리하여 다른 사람들에게 전달하는 능력입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 전략 리더"
Q34,7,AI 협업/의사소통 역량,AI 프로젝트에서 발생한 문제를 팀원들과 논의하여 해결한 경험이 있습니다.,"문제가 발생했을 때 혼자 해결하려 하지 않고, 팀원들과 의견을 나누어 함께 해결책을 찾는 능력입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 전략 리더"
Q35,7,AI 협업/의사소통 역량,다양한 배경의 사람들과 AI 프로젝트를 진행하면서 의견을 조율한 경험이 있습니다.,"기술자, 기획자, 디자이너 등 다양한 역할의 사람들과 소통하며 프로젝트를 진행하는 능력입니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 전략 리더"
Q36,8,AI 전략적 사고 및 윤리 인식,AI 기술을 비즈니스 목표 달성에 연결하여 전략을 수립한 경험이 있습니다.,AI 기술이 단순히 기술이 아니라 비즈니스 가치를 창출하는 도구임을 이해하고 활용하는 것입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, AI 전략 리더"
Q37,8,AI 전략적 사고 및 윤리 인식,AI의 편향성(Bias)과 윤리적 이슈를 이해하고 고려한 경험이 있습니다.,"AI 모델이 학습 데이터의 편향을 반영하여 불공정한 결과를 낼 수 있으므로, 이를 인식하고 해결하려는 노력이 필요합니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 전략 리더
Q38,8,AI 전략적 사고 및 윤리 인식,AI 프로젝트의 ROI(투자 대비 효과)를 평가하고 우선순위를 결정한 경험이 있습니다.,ROI는 투자한 비용 대비 얻은 효과를 나타내는 지표입니다. AI 프로젝트의 가치를 정량적으로 평가하는 것입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다",AI 전략 리더
Q39,8,AI 전략적 사고 및 윤리 인식,AI 사용 시 개인정보 보호와 데이터 보안의 중요성을 이해하고 있습니다.,"AI는 많은 데이터를 사용하므로, 개인정보를 보호하고 데이터를 안전하게 관리하는 것이 매우 중요합니다.","1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","현업 AI 관리자, AI 전략 리더"
Q40,8,AI 전략적 사고 및 윤리 인식,조직의 AI 도입 로드맵을 수립하거나 참여한 경험이 있습니다.,AI 도입 로드맵은 조직이 AI를 단계적으로 도입하기 위한 계획입니다. 현재 상태에서 목표 상태까지의 경로를 설계하는 것입니다.,"1: 전혀 그렇지 않다 ~ 5: 매우 그렇다","AI 전문가, 현업 AI 관리자, AI 전략 리더"
